full_name,city,engine_capacity,insurance,transmission_type,categoria_marca,kms_driven,ano,marca,modelo,mileage,seats,engine_capacity.1,body_type,fuel_type,kms_driven.1,max_power,owner_type,resale_price_Lakh,prediction,precisaoNew,prejuizoNew,variacaoPrecisao,precisaoOld,prejuizoOld,satisfacaoOld,satisfacaoNew
2010 Maruti SX4 Vxi BSIII,Delhi,1586.0,Third Party,Manual,baixa,120000.0,2010.0,Maruti,SX4 Vxi BSIII,18.6,5.0,1586.0,Sedan,Petrol,120000.0,104.68,First Owner,1.51,1.6716999999999995,0,0,10.708609271523146,1,0.9032721182030271,50.0,100.0
2014 Maruti Wagon R VXI BS IV,Chennai,998.0,Comprehensive,Manual,baixa,84516.0,2014.0,Maruti,Wagon R VXI BS IV,16.5,5.0,998.0,Hatchback,Petrol,84516.0,67.0,Second Owner,3.18,3.128600000000002,0,0,1.616352201257809,0,0.0,66.90161400045793,66.90161400045793
2015 Skoda Octavia Elegance 1.8 TSI AT,Delhi,1798.0,Comprehensive,Automatic,baixa,78000.0,2015.0,Skoda,Octavia Elegance 1.8 TSI AT,12.99,5.0,1798.0,Sedan,Petrol,78000.0,177.5,Third Owner,7.56,9.342799999999988,0,0,23.58201058201043,1,0.8091792610352367,50.0,100.0
2021 Hyundai Grand i10 Nios Magna CNG,Pune,1197.0,Comprehensive,Manual,baixa,8455.0,2021.0,Hyundai,Grand i10 Nios Magna CNG,18.5,5.0,1197.0,Hatchback,CNG,8455.0,68.0,First Owner,7.01,7.072599999999995,0,0,0.8930099857345981,0,0.0,64.2605518959659,64.2605518959659
2019 Hyundai i20 Sportz Plus Diesel,Hyderabad,1396.0,Third Party,Manual,baixa,78000.0,2019.0,Hyundai,i20 Sportz Plus Diesel,21.1,5.0,1396.0,Hatchback,Diesel,78000.0,88.7,First Owner,7.85,7.098800000000001,0,0,9.569426751592344,1,1.105820702090494,50.0,100.0
2021 Maruti Wagon R CNG LXI Opt,Delhi,998.0,Comprehensive,Manual,baixa,27586.0,2021.0,Maruti,Wagon R CNG LXI Opt,22.38,5.0,998.0,Hatchback,CNG,27586.0,58.3,First Owner,6.25,5.7937,0,0,7.300799999999994,0,0.0,87.65663056666484,87.65663056666484
2017 Hyundai Grand i10 1.2 Kappa Sportz BSIV,Bangalore,1197.0,Third Party,Manual,baixa,51439.0,2017.0,Hyundai,Grand i10 1.2 Kappa Sportz BSIV,17.68,5.0,1197.0,Hatchback,Petrol,51439.0,81.8,Third Owner,4.4,4.632299999999994,0,0,5.2795454545453016,0,0.0,80.27663992188913,80.27663992188913
2020 Kia Seltos HTX IVT G,Ahmedabad,1497.0,Third Party,Automatic,baixa,30000.0,2020.0,Kia,Seltos HTX IVT G,16.5,5.0,1497.0,SUV,Petrol,30000.0,113.4,First Owner,14.5,14.1757,0,0,2.236551724137925,0,0.0,69.16608221750772,69.16608221750772
2012 Hyundai EON Magna Plus,Gurgaon,814.0,Comprehensive,Manual,baixa,20538.0,2012.0,Hyundai,EON Magna Plus,23.1,5.0,814.0,Hatchback,Petrol,20538.0,55.2,First Owner,2.11,2.1726000000000023,0,0,2.9668246445498787,0,0.0,71.83244966385075,71.83244966385075
2011 Maruti Swift VDI,Pune,1248.0,Third Party,Manual,baixa,87355.0,2011.0,Maruti,Swift VDI,36.51199999999999,5.0,1248.0,Hatchback,Diesel,87355.0,74.0,First Owner,3.73,2.762199999999998,0,0,25.946380697050987,1,1.350372891173703,50.0,100.0
2022 Renault KWID 1.0 RXT Opt,Delhi,999.0,Third Party,Manual,baixa,10000.0,2022.0,Renault,KWID 1.0 RXT Opt,21.1,5.0,999.0,Hatchback,Petrol,10000.0,67.0,First Owner,5.41,5.339800000000007,0,0,1.2975970425137284,0,0.0,65.73777736503993,65.73777736503993
2006 Honda City VTEC,Lucknow,1497.0,Third Party,Manual,baixa,100000.0,2006.0,Honda,City VTEC,16.8,5.0,1497.0,Sedan,Petrol,100000.0,100.0,Second Owner,1.1,1.3289999999999984,0,0,20.818181818181664,1,0.8276899924755465,50.0,100.0
2018 Maruti Swift Dzire Tour 1.2 S STD CNG,Delhi,1197.0,Third Party,Manual,baixa,100000.0,2018.0,Maruti,Swift Dzire Tour 1.2 S STD CNG,17.01,5.0,1197.0,Sedan,CNG,100000.0,70.4,First Owner,4.5,4.5262,0,0,0.5822222222222272,0,0.0,63.12580575902346,63.12580575902346
2017 Toyota Innova Crysta 2.4 VX MT 8 STR,Pune,2393.0,Third Party,Manual,baixa,155000.0,2017.0,Toyota,Innova Crysta 2.4 VX MT 8 STR,22.7,8.0,2393.0,MUV,Diesel,155000.0,147.5,First Owner,18.95,16.778600000000004,0,0,11.458575197889155,1,1.1294148498682843,50.0,100.0
2022 Land Rover Range Rover Evoque 2.0 R-Dynamic SE Diesel,Delhi,1997.0,Comprehensive,Automatic,alta,5000.0,2022.0,Land,Rover Range Rover Evoque 2.0 R-Dynamic SE Diesel,16.36,5.0,1997.0,SUV,Diesel,5000.0,246.7,First Owner,76.0,70.63550000000001,0,0,7.058552631578937,0,0.0,86.77213864718384,86.77213864718384
2012 Renault Duster 110PS Diesel RxZ,Jaipur,1461.0,Not Available,Manual,baixa,121061.0,2012.0,Renault,Duster 110PS Diesel RxZ,18.0,5.0,1461.0,SUV,Diesel,121061.0,108.4,Second Owner,3.69,3.774199999999999,0,0,2.2818428184281614,0,0.0,69.33144874836117,69.33144874836117
2017 Toyota Innova Crysta 2.4 VX MT BSIV,Delhi,2393.0,Third Party,Manual,baixa,60000.0,2017.0,Toyota,Innova Crysta 2.4 VX MT BSIV,17.5,7.0,2393.0,MUV,Diesel,60000.0,147.8,First Owner,15.0,15.634,0,0,4.226666666666669,0,0.0,76.43237615901946,76.43237615901946
2017 Mercedes-Benz E-Class Exclusive E 220 d BSIV,Chennai,1950.0,Comprehensive,Automatic,alta,25000.0,2017.0,Mercedes-Benz,2017  E-Class Exclusive E 220 d BSIV,15.6,5.0,1950.0,Sedan,Diesel,25000.0,191.7,First Owner,45.0,38.89489999999997,0,0,13.566888888888954,1,1.1569640235609304,50.0,100.0
2016 Hyundai Grand i10 Sportz,Pune,1197.0,Third Party,Manual,baixa,40000.0,2016.0,Hyundai,Grand i10 Sportz,15.04,5.0,1197.0,Hatchback,Petrol,40000.0,82.0,First Owner,4.9,4.760699999999995,0,0,2.84285714285726,0,0.0,71.37982037734892,71.37982037734892
2021 Jeep Compass 1.4 Sport BSVI,Pune,1368.0,Third Party,Manual,baixa,12649.0,2021.0,Jeep,Compass 1.4 Sport BSVI,24.7,5.0,1368.0,SUV,Petrol,12649.0,160.7,First Owner,17.1,18.89549999999998,0,0,10.499999999999877,1,0.9049773755656119,50.0,100.0
2022 Toyota Innova Crysta 2.7 ZX 7 STR AT,Chennai,2694.0,Comprehensive,Automatic,baixa,3000.0,2022.0,Toyota,Innova Crysta 2.7 ZX 7 STR AT,26.59,7.0,2694.0,MUV,Petrol,3000.0,163.6,First Owner,26.9,25.57000000000003,0,0,4.944237918215501,0,0.0,79.05236735968197,79.05236735968197
2014 Honda Brio S MT,Hyderabad,1198.0,Third Party,Manual,baixa,50670.0,2014.0,Honda,Brio S MT,17.0,5.0,1198.0,Hatchback,Petrol,50670.0,86.8,Second Owner,3.89,3.5779999999999963,0,0,8.020565552699328,1,1.0871995528228071,50.0,100.0
2014 Ford Ecosport 1.5 DV5 MT Titanium,Bangalore,1498.0,Comprehensive,Manual,baixa,109651.0,2014.0,Ford,Ecosport 1.5 DV5 MT Titanium,24.0,5.0,1498.0,SUV,Diesel,109651.0,89.8,Second Owner,5.0,4.815799999999999,0,0,3.6840000000000117,0,0.0,74.45099537141033,74.45099537141033
2019 Maruti Swift Dzire AMT ZDI,Hyderabad,1248.0,Third Party,Automatic,baixa,97112.0,2019.0,Maruti,Swift Dzire AMT ZDI,21.72,5.0,1248.0,Sedan,Diesel,97112.0,74.0,First Owner,7.79,7.166799999999999,0,0,8.000000000000009,1,1.0869565217391306,50.0,100.0
2017 Renault Pulse RxL Optional,Hyderabad,1461.0,Third Party,Manual,baixa,90000.0,2017.0,Renault,Pulse RxL Optional,12.55,5.0,1461.0,Hatchback,Diesel,90000.0,63.1,Second Owner,3.3,3.267100000000003,0,0,0.9969696969696074,0,0.0,64.64012887605148,64.64012887605148
2011 Maruti SX4 ZDI,Chandigarh,1248.0,Third Party,Manual,baixa,120000.0,2011.0,Maruti,SX4 ZDI,17.0,5.0,1248.0,Sedan,Diesel,120000.0,88.8,Third Owner,3.0,2.7928,0,0,6.906666666666661,0,0.0,86.2175736604799,86.2175736604799
2016 Hyundai i20 Magna 1.2,Delhi,1197.0,Zero Dep,Manual,baixa,95566.0,2016.0,Hyundai,i20 Magna 1.2,20.14,5.0,1197.0,Hatchback,Petrol,95566.0,81.8,First Owner,4.98,5.016400000000005,0,0,0.7309236947792143,0,0.0,63.66874354922052,63.66874354922052
2022 Maruti Swift Dzire ZXI Plus AT BSVI,Delhi,1197.0,Comprehensive,Automatic,baixa,11000.0,2022.0,Maruti,Swift Dzire ZXI Plus AT BSVI,20.68,5.0,1197.0,Sedan,Petrol,11000.0,88.5,First Owner,8.75,8.911499999999998,0,0,1.8457142857142677,0,0.0,67.7390592600673,67.7390592600673
2018 Hyundai Creta 1.6 VTVT AT SX Plus,Delhi,1591.0,Comprehensive,Automatic,baixa,44000.0,2018.0,Hyundai,Creta 1.6 VTVT AT SX Plus,18.9,5.0,1591.0,SUV,Petrol,44000.0,121.3,First Owner,12.65,12.225500000000002,0,0,3.3557312252964295,0,0.0,73.25242268706818,73.25242268706818
2018 Maruti Baleno 1.2 Alpha,Delhi,1197.0,Third Party,Manual,baixa,60000.0,2018.0,Maruti,Baleno 1.2 Alpha,23.84,5.0,1197.0,Hatchback,Petrol,60000.0,83.1,First Owner,5.0,5.627099999999998,0,0,12.541999999999955,1,0.8885571608821599,50.0,100.0
2020 Honda Amaze VX Petrol,Jaipur,1199.0,Comprehensive,Manual,baixa,13613.0,2020.0,Honda,Amaze VX Petrol,20.51,5.0,1199.0,Sedan,Petrol,13613.0,88.7,First Owner,7.91,7.419700000000001,0,0,6.198482932996201,0,0.0,83.63185810029815,83.63185810029815
2022 Kia Seltos GTX Option,Gurgaon,1353.0,Comprehensive,Manual,baixa,10500.0,2022.0,Kia,Seltos GTX Option,24.7,5.0,1353.0,SUV,Petrol,10500.0,138.0,First Owner,16.25,17.567600000000002,0,0,8.108307692307706,1,0.9249982923108448,50.0,100.0
2015 Toyota Innova 2.5 G (Diesel) 8 Seater BS IV,Bangalore,2494.0,Comprehensive,Manual,baixa,129000.0,2015.0,Toyota,Innova 2.5 G (Diesel) 8 Seater BS IV,28.09,8.0,2494.0,MUV,Diesel,129000.0,100.6,First Owner,13.3,12.044099999999988,0,0,9.442857142857239,1,1.1042751222590326,50.0,100.0
2012 Hyundai i20 Sportz 1.2,Bangalore,1197.0,Comprehensive,Manual,baixa,40296.0,2012.0,Hyundai,i20 Sportz 1.2,44.226,5.0,1197.0,Hatchback,Petrol,40296.0,82.8,First Owner,4.66,4.145000000000005,0,0,11.051502145922644,1,1.1242460796139915,50.0,100.0
2018 Maruti Baleno RS 1.0 Petrol,Mumbai,998.0,Comprehensive,Manual,baixa,44712.0,2018.0,Maruti,Baleno RS 1.0 Petrol,29.232,5.0,998.0,Hatchback,Petrol,44712.0,100.5,First Owner,5.79,5.994600000000002,0,0,3.5336787564767165,0,0.0,73.90214348464146,73.90214348464146
2019 Maruti Swift VXI,Gurgaon,1197.0,Comprehensive,Manual,baixa,25661.0,2019.0,Maruti,Swift VXI,18.6,5.0,1197.0,Hatchback,Petrol,25661.0,88.5,Second Owner,5.33,5.671199999999999,0,0,6.401500938086283,0,0.0,84.37311603916342,84.37311603916342
2014 Audi A6 2.0 TDI Premium Plus,Mumbai,1968.0,Third Party,Automatic,alta,70000.0,2014.0,Audi,A6 2.0 TDI Premium Plus,25.6,5.0,1968.0,Sedan,Diesel,70000.0,174.3,Second Owner,16.5,15.5733,0,0,5.616363636363638,0,0.0,81.50642814247692,81.50642814247692
2022 Kia Seltos GTX Plus DCT,Gurgaon,1353.0,Third Party,Automatic,baixa,30000.0,2022.0,Kia,Seltos GTX Plus DCT,26.6,5.0,1353.0,SUV,Petrol,30000.0,138.0,First Owner,18.9,18.192700000000027,0,0,3.7423280423278924,0,0.0,74.66396231695207,74.66396231695207
2008 Hyundai Santro Xing GL,Chandigarh,1086.0,Third Party,Manual,baixa,110000.0,2008.0,Hyundai,Santro Xing GL,25.1,5.0,1086.0,Hatchback,Petrol,110000.0,62.0,First Owner,1.1,1.2857129999999994,0,0,16.88299999999994,1,0.8555564111119671,50.0,100.0
2016 Maruti Celerio ZXI AT,Chennai,998.0,Third Party,Automatic,baixa,45055.0,2016.0,Maruti,Celerio ZXI AT,19.47,5.0,998.0,Hatchback,Petrol,45055.0,67.0,First Owner,4.7,4.599699999999995,0,0,2.134042553191599,0,0.0,68.79180144011193,68.79180144011193
2020 Maruti Ertiga CNG VXI,Delhi,1462.0,Comprehensive,Manual,baixa,34000.0,2020.0,Maruti,Ertiga CNG VXI,21.4,7.0,1462.0,MUV,CNG,34000.0,91.1,First Owner,10.9,10.872499999999995,0,0,0.252293577981699,0,0.0,61.921172570485155,61.921172570485155
2017 Maruti Baleno RS 1.0 Petrol,Gurgaon,998.0,Not Available,Manual,baixa,105708.0,2017.0,Maruti,Baleno RS 1.0 Petrol,20.73,5.0,998.0,Hatchback,Petrol,105708.0,100.5,First Owner,4.85,4.730700000000005,0,0,2.4597938144328793,0,0.0,69.98118219667751,69.98118219667751
2013 Honda City 1.5 V MT Sunroof,Mumbai,1497.0,Comprehensive,Manual,baixa,65000.0,2013.0,Honda,City 1.5 V MT Sunroof,20.89,5.0,1497.0,Sedan,Petrol,65000.0,116.3,First Owner,4.4,4.457299999999996,0,0,1.3022727272726191,0,0.0,65.75484919295795,65.75484919295795
2019 Audi Q5 35TDI Technology,Bangalore,1968.0,Comprehensive,Automatic,alta,36000.0,2019.0,Audi,Q5 35TDI Technology,17.4,5.0,1968.0,SUV,Diesel,36000.0,188.0,First Owner,44.75,41.5593,0,0,7.130055865921787,0,0.0,87.03321076286966,87.03321076286966
2018 Datsun RediGO S,Bangalore,799.0,Third Party,Manual,baixa,30332.0,2018.0,Datsun,RediGO S,26.0,5.0,799.0,Hatchback,Petrol,30332.0,53.6,Second Owner,3.1,2.9387999999999987,0,0,5.200000000000044,0,0.0,79.98620410731122,79.98620410731122
2013 Jaguar XF 2.2 Litre Luxury,Jaipur,2179.0,Third Party,Automatic,alta,70000.0,2013.0,Jaguar,XF 2.2 Litre Luxury,16.25,5.0,2179.0,Sedan,Diesel,70000.0,187.7,Second Owner,14.0,14.7225,0,0,5.1607142857142865,0,0.0,79.84276437847836,79.84276437847836
2007 Chevrolet Spark 1.0 LS,Hyderabad,995.0,Third Party,Manual,baixa,64000.0,2007.0,Chevrolet,Spark 1.0 LS,22.15,5.0,995.0,Hatchback,Petrol,64000.0,62.0,Second Owner,1.2,1.155599800000001,0,0,3.7000166666665835,0,0.0,74.50947531418923,74.50947531418923
2016 Maruti Ertiga BSIV VXI,Mumbai,1373.0,Third Party,Manual,baixa,20000.0,2016.0,Maruti,Ertiga BSIV VXI,18.9,7.0,1373.0,MUV,Petrol,20000.0,91.1,First Owner,7.45,7.150700000000005,0,0,4.017449664429466,0,0.0,75.66848448455882,75.66848448455882
2010 Ford Figo Petrol EXI,Gurgaon,1196.0,Not Available,Manual,baixa,59569.0,2010.0,Ford,Figo Petrol EXI,18.6,5.0,1196.0,Hatchback,Petrol,59569.0,70.0,First Owner,1.25,1.944323100000001,0,0,55.54584800000008,1,0.6428972633200724,50.0,100.0
2016 Mercedes-Benz CLA 200 CGI Sport,Delhi,1991.0,Comprehensive,Automatic,alta,90007.0,2016.0,Mercedes-Benz,2016  CLA 200 CGI Sport,21.4,5.0,1991.0,Sedan,Petrol,90007.0,183.0,First Owner,19.75,20.691600000000008,0,0,4.767594936708902,0,0.0,78.40740972487266,78.40740972487266
2018 Maruti Alto 800 LXI,Gurgaon,796.0,Zero Dep,Manual,baixa,67499.0,2018.0,Maruti,Alto 800 LXI,12.55,5.0,796.0,Hatchback,Petrol,67499.0,47.3,First Owner,2.8,2.9726000000000043,0,0,6.164285714285876,0,0.0,83.50699745138726,83.50699745138726
2016 Maruti Swift Dzire AMT ZDI,Lucknow,1248.0,Third Party,Automatic,baixa,120000.0,2016.0,Maruti,Swift Dzire AMT ZDI,18.16,5.0,1248.0,Sedan,Diesel,120000.0,74.0,First Owner,5.2,5.0808999999999935,0,0,2.290384615384743,0,0.0,69.3626364984498,69.3626364984498
2018 Hyundai Verna VTVT 1.6 AT SX Option,Mumbai,1591.0,Comprehensive,Automatic,baixa,35765.0,2018.0,Hyundai,Verna VTVT 1.6 AT SX Option,22.9,5.0,1591.0,Sedan,Petrol,35765.0,121.3,First Owner,8.96,9.292900000000008,0,0,3.7154017857143695,0,0.0,74.56564935466164,74.56564935466164
2016 Hyundai Grand i10 CRDi Magna,Hyderabad,1120.0,Third Party,Manual,baixa,62000.0,2016.0,Hyundai,Grand i10 CRDi Magna,15.8,5.0,1120.0,Hatchback,Diesel,62000.0,70.0,First Owner,4.7,4.011699999999999,0,0,14.644680851063846,1,1.1715731485405192,50.0,100.0
2018 Skoda Rapid 1.5 TDI AT Style BSIV,Gurgaon,1498.0,Comprehensive,Automatic,baixa,59030.0,2018.0,Skoda,Rapid 1.5 TDI AT Style BSIV,22.38,5.0,1498.0,Sedan,Diesel,59030.0,108.6,Second Owner,8.14,8.445100000000004,0,0,3.748157248157285,0,0.0,74.6852458730406,74.6852458730406
2015 Toyota Fortuner 4x4 AT,Jaipur,2982.0,Comprehensive,Automatic,baixa,125000.0,2015.0,Toyota,Fortuner 4x4 AT,11.74,7.0,2982.0,SUV,Diesel,125000.0,168.5,First Owner,15.95,18.182499999999983,0,0,13.996865203761654,1,0.8772171043585874,50.0,100.0
2019 Ford Ecosport 1.5 Petrol Titanium BSIV,Pune,1497.0,Third Party,Manual,baixa,58905.0,2019.0,Ford,Ecosport 1.5 Petrol Titanium BSIV,21.4,5.0,1497.0,SUV,Petrol,58905.0,121.3,Second Owner,8.05,8.085,0,0,0.43478260869565394,0,0.0,62.587475259808336,62.587475259808336
2017 Volkswagen Polo 1.5 TDI Highline,Jaipur,1498.0,Third Party,Manual,baixa,120000.0,2017.0,Volkswagen,Polo 1.5 TDI Highline,13.7,5.0,1498.0,Hatchback,Diesel,120000.0,88.0,First Owner,5.25,5.1398,0,0,2.0990476190476164,0,0.0,68.66402817811584,68.66402817811584
2018 BMW X1 sDrive 20d xLine,Bangalore,1995.0,Comprehensive,Automatic,alta,49000.0,2018.0,BMW,X1 sDrive 20d xLine,24.7,5.0,1995.0,SUV,Diesel,49000.0,188.0,First Owner,30.25,29.992399999999996,0,0,0.8515702479338962,0,0.0,64.10924741134329,64.10924741134329
2017 Hyundai Grand i10 1.2 Kappa Magna BSIV,Delhi,1197.0,Comprehensive,Manual,baixa,40795.0,2017.0,Hyundai,Grand i10 1.2 Kappa Magna BSIV,17.41,5.0,1197.0,Hatchback,Petrol,40795.0,81.8,First Owner,4.43,4.672200000000002,0,0,5.46726862302488,0,0.0,80.96205345889385,80.96205345889385
2019 Tata Tiago 1.2 Revotron XTA,Delhi,1199.0,Comprehensive,Automatic,baixa,36000.0,2019.0,Tata,Tiago 1.2 Revotron XTA,16.2,5.0,1199.0,Hatchback,Petrol,36000.0,84.0,First Owner,5.5,5.836300000000001,0,0,6.114545454545479,0,0.0,83.32538615835229,83.32538615835229
2018 Maruti Wagon R AMT VXI,Delhi,998.0,Comprehensive,Automatic,baixa,51000.0,2018.0,Maruti,Wagon R AMT VXI,13.0,5.0,998.0,Hatchback,Petrol,51000.0,67.0,First Owner,4.75,4.168399999999998,0,0,12.244210526315824,1,1.1395259572018046,50.0,100.0
2020 Honda Amaze S Diesel,Bangalore,1498.0,Third Party,Manual,baixa,40000.0,2020.0,Honda,Amaze S Diesel,20.36,5.0,1498.0,Sedan,Diesel,40000.0,98.6,First Owner,7.5,8.321900000000001,0,0,10.958666666666682,1,0.9012364964731611,50.0,100.0
2016 Maruti Ciaz VDI SHVS,Delhi,1248.0,Third Party,Manual,baixa,40000.0,2016.0,Maruti,Ciaz VDI SHVS,23.4,5.0,1248.0,Sedan,Diesel,40000.0,88.5,First Owner,4.7,5.216199999999997,0,0,10.982978723404187,1,0.9010390705877848,50.0,100.0
2021 Maruti Alto 800 LXI Opt S-CNG BSVI,Delhi,796.0,Third Party,Manual,baixa,40000.0,2021.0,Maruti,Alto 800 LXI Opt S-CNG BSVI,12.05,4.0,796.0,Hatchback,CNG,40000.0,40.3,First Owner,4.0,4.052499999999999,0,0,1.3124999999999831,0,0.0,65.79219094054697,65.79219094054697
2021 Maruti Eeco CNG 5 Seater AC,Bangalore,1196.0,Third Party,Manual,baixa,40000.0,2021.0,Maruti,Eeco CNG 5 Seater AC,21.4,5.0,1196.0,Minivans,CNG,40000.0,61.6,First Owner,5.0,5.2544,0,0,5.088000000000008,0,0.0,79.57727048038439,79.57727048038439
2016 Hyundai i20 Magna 1.2,Bangalore,1197.0,Third Party,Manual,baixa,40335.0,2016.0,Hyundai,i20 Magna 1.2,18.15,5.0,1197.0,Hatchback,Petrol,40335.0,81.8,First Owner,6.08,5.793599999999999,0,0,4.710526315789496,0,0.0,78.19904117008447,78.19904117008447
2017 Honda City i-DTEC ZX,Ahmedabad,1498.0,Third Party,Manual,baixa,107239.0,2017.0,Honda,City i-DTEC ZX,16.55,5.0,1498.0,Sedan,Diesel,107239.0,97.9,First Owner,7.85,7.207800000000007,0,0,8.180891719745132,1,1.0890979216959393,50.0,100.0
2019 Maruti Wagon R LXI CNG Optional,Lucknow,998.0,Third Party,Manual,baixa,80000.0,2019.0,Maruti,Wagon R LXI CNG Optional,18.1,5.0,998.0,Hatchback,CNG,80000.0,58.1,First Owner,4.5,4.571600000000001,0,0,1.5911111111111333,0,0.0,66.80945390633948,66.80945390633948
2020 Maruti SX4 S Cross Delta DDiS 200 SH,Lucknow,1248.0,Third Party,Manual,baixa,80000.0,2020.0,Maruti,SX4 S Cross Delta DDiS 200 SH,21.1,5.0,1248.0,SUV,Diesel,80000.0,88.5,First Owner,8.0,8.6586,0,0,8.232499999999998,1,0.923936895110064,50.0,100.0
2022 Skoda Slavia 1.0 TSI Ambition BSVI,Pune,999.0,Third Party,Manual,baixa,6993.0,2022.0,Skoda,Slavia 1.0 TSI Ambition BSVI,17.21,5.0,999.0,Sedan,Petrol,6993.0,113.9,First Owner,12.15,12.6971,0,0,4.502880658436217,0,0.0,77.44088677921789,77.44088677921789
2017 Maruti Baleno 1.2 Delta,Mumbai,1197.0,Comprehensive,Manual,baixa,38724.0,2017.0,Maruti,Baleno 1.2 Delta,17.01,5.0,1197.0,Hatchback,Petrol,38724.0,83.1,First Owner,5.2,5.234699999999997,0,0,0.6673076923076231,0,0.0,63.43646924010189,63.43646924010189
2015 Maruti Ciaz ZXi Plus,Mumbai,1373.0,Comprehensive,Manual,baixa,42830.0,2015.0,Maruti,Ciaz ZXi Plus,17.4,5.0,1373.0,Sedan,Petrol,42830.0,91.1,First Owner,6.25,6.010000000000003,0,0,3.839999999999946,0,0.0,75.02058149462943,75.02058149462943
2018 Maruti Ignis 1.2 AMT Zeta BSIV,Delhi,1197.0,Zero Dep,Automatic,baixa,107798.0,2018.0,Maruti,Ignis 1.2 AMT Zeta BSIV,21.4,5.0,1197.0,Hatchback,Petrol,107798.0,81.8,First Owner,4.58,4.829899999999999,0,0,5.4563318777292436,0,0.0,80.92212128996064,80.92212128996064
2015 Honda City i VTEC VX,Mumbai,1497.0,Comprehensive,Manual,baixa,36666.0,2015.0,Honda,City i VTEC VX,21.4,5.0,1497.0,Sedan,Petrol,36666.0,117.3,First Owner,6.59,6.410999999999999,0,0,2.716236722306543,0,0.0,70.91750477182401,70.91750477182401
2015 Honda City i DTEC V,Kolkata,1498.0,Third Party,Manual,baixa,55155.0,2015.0,Honda,City i DTEC V,19.1,5.0,1498.0,Sedan,Diesel,55155.0,98.6,First Owner,4.5,4.7439,0,0,5.42,0,0.0,80.78946658877425,80.78946658877425
2018 Skoda Kodiaq 2.0 TDI Style,Mumbai,1968.0,Comprehensive,Automatic,baixa,51089.0,2018.0,Skoda,Kodiaq 2.0 TDI Style,26.59,7.0,1968.0,SUV,Diesel,51089.0,148.0,First Owner,27.85,27.95439999999996,0,0,0.3748653500896201,0,0.0,62.368705778761274,62.368705778761274
2016 Volkswagen Vento 1.5 TDI Highline AT,Bangalore,1498.0,Third Party,Automatic,baixa,80000.0,2016.0,Volkswagen,Vento 1.5 TDI Highline AT,39.2,5.0,1498.0,Sedan,Diesel,80000.0,108.6,First Owner,7.75,6.925600000000002,0,0,10.637419354838684,1,1.1190366177659694,50.0,100.0
2011 Maruti Wagon R LXI BSIII,Kolkata,998.0,Comprehensive,Manual,baixa,35000.0,2011.0,Maruti,Wagon R LXI BSIII,13.68,5.0,998.0,Hatchback,Petrol,35000.0,67.1,First Owner,2.5,2.3751,0,0,4.995999999999992,0,0.0,79.24136071540882,79.24136071540882
2016 Hyundai i20 Sportz 1.2,Ahmedabad,1197.0,Zero Dep,Manual,baixa,101399.0,2016.0,Hyundai,i20 Sportz 1.2,24.3,5.0,1197.0,Hatchback,Petrol,101399.0,81.8,First Owner,5.34,5.313299999999994,0,0,0.5000000000001155,0,0.0,62.82559654878005,62.82559654878005
2019 Maruti Baleno 1.2 Delta,Lucknow,1197.0,Third Party,Manual,baixa,38658.0,2019.0,Maruti,Baleno 1.2 Delta,23.01,5.0,1197.0,Hatchback,Petrol,38658.0,83.1,First Owner,5.46,5.5963999999999965,0,0,2.4981684981684347,0,0.0,70.12129557705381,70.12129557705381
2012 Toyota Fortuner 4x4 MT,Ahmedabad,2982.0,Third Party,Manual,baixa,120000.0,2012.0,Toyota,Fortuner 4x4 MT,26.59,7.0,2982.0,SUV,Diesel,120000.0,168.5,Second Owner,8.0,10.179000000000002,0,0,27.237500000000026,1,0.7859318204145789,50.0,100.0
2016 Ford Aspire 1.2 Ti-VCT Titanium Plus,Kolkata,1196.0,Third Party,Manual,baixa,50000.0,2016.0,Ford,Aspire 1.2 Ti-VCT Titanium Plus,20.7,5.0,1196.0,Sedan,Petrol,50000.0,86.8,First Owner,3.0,3.4204000000000008,0,0,14.013333333333359,1,0.8770903987837678,50.0,100.0
2012 Maruti Swift VDI,Jaipur,1248.0,Not Available,Manual,baixa,142425.0,2012.0,Maruti,Swift VDI,13.0,5.0,1248.0,Hatchback,Diesel,142425.0,74.0,First Owner,3.4,3.4934999999999987,0,0,2.749999999999965,0,0.0,71.04078101828924,71.04078101828924
2018 Hyundai Creta 1.6 SX Option,Gurgaon,1591.0,Comprehensive,Manual,baixa,60036.0,2018.0,Hyundai,Creta 1.6 SX Option,18.9,5.0,1591.0,SUV,Petrol,60036.0,121.3,First Owner,10.1,10.292700000000004,0,0,1.9079207920792465,0,0.0,67.96618722673041,67.96618722673041
2019 Maruti Swift VXI,Lucknow,1197.0,Third Party,Manual,baixa,28793.0,2019.0,Maruti,Swift VXI,19.81,5.0,1197.0,Hatchback,Petrol,28793.0,88.5,First Owner,5.42,5.606599999999999,0,0,3.44280442804427,0,0.0,73.57034376392352,73.57034376392352
2012 Mercedes-Benz C-Class C 200 CGI Elegance,Gurgaon,1796.0,Comprehensive,Automatic,alta,72100.0,2012.0,Mercedes-Benz,2012  C-Class C 200 CGI Elegance,19.1,5.0,1796.0,Sedan,Petrol,72100.0,186.0,First Owner,11.9,10.918799999999994,0,0,8.245378151260558,1,1.0898633549474308,50.0,100.0
