insurance,owner_type,transmission_type,resale_price_Lakh
Comprehensive,Second Owner,Automatic,7.33
Third Party,Second Owner,Manual,3.22
Comprehensive,First Owner,Manual,6.85
Third Party,First Owner,Automatic,14.99
Comprehensive,First Owner,Manual,5.98
Comprehensive,First Owner,Manual,6.75
Comprehensive,First Owner,Manual,5.55
Third Party,Fourth Owner,Manual,2.15
Third Party,Second Owner,Manual,1.4
Third Party,Second Owner,Manual,8.0
Third Party,Second Owner,Manual,9.5
Comprehensive,First Owner,Manual,9.9
Comprehensive,First Owner,Manual,5.67
Comprehensive,Second Owner,Manual,3.86
Comprehensive,First Owner,Automatic,9.98
Third Party,Second Owner,Manual,1.84
Third Party,First Owner,Automatic,4.5
Comprehensive,Second Owner,Manual,3.3
Comprehensive,Second Owner,Manual,4.95
Comprehensive,First Owner,Automatic,10.75
Third Party,First Owner,Automatic,17.99
Comprehensive,Second Owner,Manual,4.42
Comprehensive,First Owner,Manual,3.74
Third Party,Second Owner,Manual,5.91
Third Party,First Owner,Manual,3.48
Third Party,Second Owner,Manual,6.48
Third Party,First Owner,Automatic,24.5
Third Party,First Owner,Automatic,10.0
Third Party,Second Owner,Manual,3.0
Comprehensive,First Owner,Automatic,45.5
Third Party,First Owner,Manual,6.0
Comprehensive,Second Owner,Automatic,15.75
Third Party,First Owner,Automatic,5.16
Comprehensive,First Owner,Manual,5.72
Comprehensive,First Owner,Manual,6.5
Comprehensive,First Owner,Automatic,6.5
Third Party,First Owner,Manual,5.15
Comprehensive,First Owner,Manual,5.13
Comprehensive,First Owner,Automatic,22.0
Third Party,First Owner,Manual,7.0
Third Party,Second Owner,Manual,1.7
Third Party,Second Owner,Manual,1.6
Comprehensive,First Owner,Manual,7.0
Zero Dep,First Owner,Manual,3.43
Third Party,First Owner,Manual,8.06
Third Party,Second Owner,Manual,2.6
Comprehensive,First Owner,Automatic,60.75
Comprehensive,First Owner,Manual,6.2
Third Party,First Owner,Manual,6.5
Comprehensive,First Owner,Manual,14.0
Comprehensive,First Owner,Manual,9.0
Comprehensive,First Owner,Automatic,9.75
Comprehensive,First Owner,Manual,7.07
Zero Dep,First Owner,Automatic,52.5
Zero Dep,First Owner,Automatic,6.98
Third Party,First Owner,Manual,5.92
Third Party,Second Owner,Manual,1.2
Comprehensive,First Owner,Manual,4.56
Third Party,First Owner,Manual,5.58
Third Party,First Owner,Manual,6.92
Third Party,First Owner,Manual,6.0
Third Party,Second Owner,Manual,4.0
Third Party,First Owner,Automatic,9.0
Third Party,First Owner,Manual,2.8
Comprehensive,Second Owner,Manual,4.5
Third Party,First Owner,Manual,5.0
Comprehensive,First Owner,Manual,2.88
Third Party,First Owner,Automatic,5.42
Third Party,Second Owner,Manual,9.95
Third Party,Fifth Owner,Automatic,3.57
Comprehensive,First Owner,Manual,9.45
Third Party,First Owner,Manual,3.48
Comprehensive,First Owner,Automatic,6.25
Comprehensive,First Owner,Automatic,8.55
Third Party,First Owner,Manual,4.0
Not Available,First Owner,Manual,5.5
Third Party,First Owner,Manual,8.3
Third Party,Second Owner,Automatic,6.95
Comprehensive,First Owner,Manual,2.92
Third Party,First Owner,Automatic,14.25
Comprehensive,First Owner,Automatic,20.85
Comprehensive,Second Owner,Manual,6.15
Comprehensive,Second Owner,Manual,5.85
Comprehensive,First Owner,Automatic,62.0
Comprehensive,First Owner,Manual,4.16
Comprehensive,Second Owner,Manual,7.3
Third Party,First Owner,Manual,5.25
Third Party,Second Owner,Manual,2.4
Zero Dep,Third Owner,Automatic,9.72
Comprehensive,First Owner,Automatic,32.0
Comprehensive,First Owner,Automatic,23.9
Third Party,First Owner,Manual,5.0
Third Party,Second Owner,Manual,2.24
Comprehensive,Second Owner,Manual,5.15
Third Party,First Owner,Manual,4.0
Third Party,First Owner,Manual,28.0
Third Party,First Owner,Manual,15.25
Third Party,First Owner,Manual,6.25
Third Party,Second Owner,Manual,5.0
Comprehensive,Second Owner,Automatic,9.0
Third Party,First Owner,Manual,8.8
Comprehensive,First Owner,Manual,4.5
Third Party,Second Owner,Manual,4.5
Comprehensive,First Owner,Manual,5.03
Comprehensive,Second Owner,Automatic,3.95
Third Party,First Owner,Manual,5.75
Comprehensive,First Owner,Manual,3.7
Third Party,First Owner,Manual,14.35
Third Party,First Owner,Manual,3.94
Comprehensive,First Owner,Manual,2.51
Comprehensive,First Owner,Manual,8.11
Third Party,Second Owner,Automatic,8.61
Third Party,First Owner,Manual,9.75
Third Party,First Owner,Manual,3.0
Third Party,First Owner,Manual,2.34
Third Party,Second Owner,Manual,3.5
Third Party,First Owner,Manual,3.85
Comprehensive,First Owner,Manual,8.47
Zero Dep,First Owner,Automatic,7.4
Third Party,First Owner,Manual,6.73
Third Party,First Owner,Manual,13.0
Third Party,First Owner,Manual,14.73
Not Available,Third Owner,Manual,3.0
Third Party,Second Owner,Manual,2.5
Third Party,Second Owner,Manual,4.93
Third Party,First Owner,Manual,8.4
Third Party,First Owner,Automatic,19.25
Third Party,First Owner,Automatic,9.0
Third Party,First Owner,Manual,10.0
Comprehensive,Second Owner,Automatic,22.5
Comprehensive,First Owner,Manual,7.05
Comprehensive,Second Owner,Automatic,9.39
Third Party,First Owner,Manual,5.5
Third Party,First Owner,Manual,4.71
Third Party,Third Owner,Manual,1.6
Comprehensive,First Owner,Manual,8.78
Third Party,Second Owner,Manual,6.0
Third Party,First Owner,Manual,8.0
Third Party,First Owner,Manual,5.0
Comprehensive,First Owner,Manual,13.45
Third Party,First Owner,Manual,6.95
Third Party,First Owner,Manual,4.55
Comprehensive,First Owner,Manual,5.54
Comprehensive,First Owner,Manual,2.7
Comprehensive,First Owner,Manual,9.75
Third Party,First Owner,Automatic,11.74
Comprehensive,First Owner,Manual,4.25
Comprehensive,First Owner,Manual,3.11
Comprehensive,First Owner,Automatic,14.75
Comprehensive,First Owner,Automatic,14.9
Comprehensive,Second Owner,Automatic,3.54
Third Party,First Owner,Manual,4.85
Third Party,First Owner,Manual,8.95
Third Party,First Owner,Automatic,62.0
Third Party,First Owner,Manual,3.0
Comprehensive,First Owner,Manual,3.1
Not Available,Second Owner,Manual,1.85
Comprehensive,First Owner,Manual,5.33
Comprehensive,First Owner,Automatic,38.0
Third Party,First Owner,Manual,2.93
Third Party,First Owner,Manual,3.8
Third Party,First Owner,Manual,6.0
Third Party,First Owner,Manual,3.01
Third Party,First Owner,Manual,5.77
Comprehensive,First Owner,Automatic,7.0
Third Party,Second Owner,Manual,23.25
Comprehensive,First Owner,Manual,3.75
Third Party,Second Owner,Automatic,5.31
Third Party,First Owner,Manual,4.19
Third Party,Third Owner,Manual,4.9
Not Available,Second Owner,Manual,8.99
Comprehensive,First Owner,Manual,5.1
Comprehensive,First Owner,Automatic,10.5
Third Party,First Owner,Manual,5.0
Third Party,Third Owner,Manual,1.7
Third Party,First Owner,Automatic,7.5
Third Party,Fifth Owner,Manual,2.2
Third Party,First Owner,Manual,3.73
Third Party,Second Owner,Automatic,23.0
Third Party,First Owner,Automatic,8.81
Third Party,First Owner,Automatic,18.0
Comprehensive,First Owner,Manual,3.49
Comprehensive,First Owner,Manual,6.2
Third Party,First Owner,Manual,3.04
Third Party,Third Owner,Manual,9.5
Comprehensive,First Owner,Automatic,8.5
Zero Dep,First Owner,Manual,6.2
Comprehensive,First Owner,Manual,8.5
Third Party,First Owner,Manual,7.75
Third Party,First Owner,Automatic,12.5
No Insurance,First Owner,Automatic,7.55
Comprehensive,First Owner,Manual,1.98
Not Available,First Owner,Manual,3.0
Comprehensive,First Owner,Manual,7.25
Comprehensive,Second Owner,Manual,2.14
Third Party,First Owner,Manual,5.4
Third Party,Second Owner,Manual,1.0
Comprehensive,Second Owner,Manual,5.5
Comprehensive,First Owner,Automatic,7.25
Third Party,First Owner,Manual,6.1
Third Party,First Owner,Manual,6.45
Third Party,Third Owner,Manual,3.9
Not Available,First Owner,Automatic,10.0
Not Available,First Owner,Manual,5.24
Comprehensive,Second Owner,Manual,6.3
Comprehensive,Second Owner,Automatic,17.75
Comprehensive,First Owner,Manual,4.44
Third Party,Second Owner,Manual,5.33
Third Party,First Owner,Automatic,15.0
Third Party,Second Owner,Manual,4.38
Comprehensive,Second Owner,Manual,5.15
Comprehensive,First Owner,Automatic,4.46
Comprehensive,Second Owner,Automatic,5.4
Comprehensive,First Owner,Manual,8.95
Comprehensive,Second Owner,Manual,5.64
Third Party,First Owner,Manual,13.5
Comprehensive,First Owner,Automatic,6.7
Third Party,First Owner,Manual,3.06
Third Party,First Owner,Manual,7.0
Third Party,Second Owner,Manual,2.93
Third Party,First Owner,Manual,1.9
Third Party,First Owner,Manual,4.6
Not Available,First Owner,Automatic,12.0
Comprehensive,First Owner,Manual,4.12
Third Party,First Owner,Manual,5.8
Third Party,First Owner,Automatic,20.85
Third Party,Second Owner,Manual,8.5
Comprehensive,First Owner,Manual,2.75
Third Party,First Owner,Manual,3.2
Third Party,First Owner,Automatic,15.9
Third Party,Second Owner,Automatic,41.9
Comprehensive,First Owner,Automatic,5.45
Third Party,First Owner,Manual,3.7
Third Party,First Owner,Manual,2.33
Third Party,First Owner,Manual,7.89
Third Party,First Owner,Manual,8.64
Third Party,First Owner,Manual,3.65
Zero Dep,First Owner,Automatic,10.43
Third Party,First Owner,Manual,7.95
Third Party,First Owner,Manual,7.0
Third Party,First Owner,Manual,6.65
Third Party,Third Owner,Manual,1.65
Third Party,First Owner,Manual,2.8
Not Available,First Owner,Manual,2.76
Third Party,Third Owner,Manual,3.82
Comprehensive,First Owner,Manual,9.25
Comprehensive,Second Owner,Manual,7.13
Third Party,First Owner,Automatic,8.0
Third Party,Second Owner,Manual,3.3
Third Party,First Owner,Automatic,7.5
Comprehensive,First Owner,Manual,16.5
Third Party,Second Owner,Manual,7.1
Third Party,Second Owner,Automatic,6.32
Comprehensive,First Owner,Automatic,10.33
Third Party,First Owner,Automatic,7.25
Third Party,First Owner,Manual,1.29
Third Party,First Owner,Manual,2.9
Not Available,First Owner,Manual,6.2
Third Party,First Owner,Manual,9.9
Comprehensive,First Owner,Manual,5.42
Third Party,First Owner,Manual,3.3
Comprehensive,Second Owner,Automatic,17.9
Comprehensive,Second Owner,Automatic,4.99
Third Party,First Owner,Manual,4.83
Third Party,Second Owner,Manual,3.5
Third Party,Fifth Owner,Manual,0.99
Third Party,First Owner,Manual,12.6
Not Available,First Owner,Manual,0.94231
Comprehensive,First Owner,Manual,11.5
Third Party,First Owner,Manual,9.0
Third Party,Second Owner,Manual,3.95
Third Party,First Owner,Manual,7.94
Third Party,First Owner,Manual,11.0
Comprehensive,First Owner,Manual,5.7
Zero Dep,First Owner,Manual,3.09
Third Party,First Owner,Manual,2.44
Third Party,First Owner,Manual,4.22
Comprehensive,Second Owner,Manual,4.87
Third Party,First Owner,Automatic,31.5
Comprehensive,Second Owner,Manual,6.66
Not Available,First Owner,Manual,7.02
Third Party,Second Owner,Manual,3.5
Third Party,Second Owner,Manual,2.13
Not Available,First Owner,Manual,2.34
Third Party,First Owner,Manual,8.25
Third Party,First Owner,Manual,4.5
Not Available,First Owner,Manual,6.35
Third Party,Second Owner,Manual,1.8
Third Party,First Owner,Automatic,23.95
Third Party,First Owner,Manual,2.91
Third Party,First Owner,Manual,1.6
Comprehensive,First Owner,Automatic,15.0
Not Available,First Owner,Manual,2.0
Comprehensive,First Owner,Automatic,11.9
Third Party,First Owner,Manual,4.8
Third Party,First Owner,Automatic,11.35
Comprehensive,Second Owner,Manual,6.25
Third Party,First Owner,Manual,8.09
Comprehensive,First Owner,Automatic,6.25
Third Party,Second Owner,Automatic,8.28
Not Available,First Owner,Manual,3.5
Third Party,First Owner,Manual,3.5
Comprehensive,First Owner,Manual,23.65
Third Party,First Owner,Manual,2.75
Comprehensive,First Owner,Manual,3.31
Not Available,First Owner,Manual,1.5
Comprehensive,Second Owner,Manual,2.84
Third Party,First Owner,Manual,10.0
Third Party,First Owner,Manual,4.0
Comprehensive,First Owner,Automatic,7.43
Comprehensive,First Owner,Manual,10.26
Third Party,Second Owner,Manual,3.3
Comprehensive,First Owner,Automatic,5.5
Comprehensive,First Owner,Manual,11.3
Third Party,Second Owner,Manual,3.45
Comprehensive,Second Owner,Manual,5.1
Third Party,First Owner,Manual,3.5
Comprehensive,Second Owner,Automatic,8.19
Third Party,Second Owner,Manual,2.58
Comprehensive,First Owner,Automatic,21.75
Third Party,First Owner,Manual,3.0
Third Party,First Owner,Manual,10.95
Third Party,First Owner,Manual,7.99
Third Party,First Owner,Manual,6.1
Third Party,First Owner,Automatic,16.99
Third Party,Second Owner,Manual,5.42
Third Party,First Owner,Manual,4.0
Comprehensive,First Owner,Automatic,28.75
Third Party,First Owner,Manual,2.5
Third Party,First Owner,Manual,4.1
Third Party,Second Owner,Automatic,8.9
Third Party,First Owner,Manual,4.05
Third Party,Second Owner,Manual,2.34
Third Party,Second Owner,Automatic,8.73
Third Party,First Owner,Manual,9.75
Zero Dep,First Owner,Manual,8.59
Third Party,First Owner,Manual,3.6
Third Party,First Owner,Manual,6.5
Third Party,Third Owner,Manual,2.0
Third Party,Fourth Owner,Manual,0.6
Third Party,First Owner,Manual,8.75
Comprehensive,First Owner,Manual,5.69
Third Party,First Owner,Manual,2.99
Third Party,First Owner,Manual,4.77
Comprehensive,First Owner,Manual,7.72
Comprehensive,First Owner,Manual,17.7
Zero Dep,First Owner,Manual,7.13
Comprehensive,Second Owner,Manual,4.12
Third Party,First Owner,Manual,12.12
Comprehensive,First Owner,Manual,2.29
Comprehensive,First Owner,Automatic,67.0
Comprehensive,First Owner,Manual,6.75
Comprehensive,First Owner,Manual,2.6
Comprehensive,First Owner,Automatic,3.76
Third Party,Second Owner,Manual,2.6
Comprehensive,First Owner,Automatic,44.0
Zero Dep,First Owner,Manual,5.83
Third Party,First Owner,Manual,1.99
Third Party,First Owner,Manual,8.21
Third Party,Second Owner,Manual,2.3
Third Party,Second Owner,Manual,4.84
Zero Dep,Second Owner,Automatic,5.82
Comprehensive,Second Owner,Manual,2.75
Third Party,First Owner,Manual,4.7
Comprehensive,First Owner,Manual,5.45
Third Party,First Owner,Manual,5.01
Third Party,First Owner,Manual,1.9
Third Party,First Owner,Automatic,9.6
Comprehensive,First Owner,Manual,16.9
Comprehensive,First Owner,Manual,4.82
Third Party,Third Owner,Manual,5.99
Third Party,First Owner,Manual,5.75
Third Party,First Owner,Manual,4.87
Comprehensive,First Owner,Automatic,8.4
Comprehensive,Second Owner,Automatic,6.45
Comprehensive,First Owner,Manual,6.99
Comprehensive,First Owner,Automatic,28.75
Third Party,First Owner,Manual,5.85
Comprehensive,First Owner,Manual,3.45
Third Party,First Owner,Automatic,26.95
Comprehensive,Second Owner,Manual,5.9
Third Party,First Owner,Manual,9.1
Third Party,Second Owner,Manual,1.75
Third Party,Second Owner,Manual,3.94
Third Party,First Owner,Manual,6.03
Not Available,Fourth Owner,Manual,1.5
Comprehensive,First Owner,Manual,5.4
Third Party,Fourth Owner,Manual,1.75
Third Party,First Owner,Manual,8.75
Third Party,First Owner,Manual,5.64
Zero Dep,First Owner,Automatic,58.5
Third Party,Second Owner,Manual,4.77
Third Party,First Owner,Manual,8.5
Comprehensive,First Owner,Manual,5.41
Comprehensive,Second Owner,Automatic,8.25
Third Party,First Owner,Automatic,9.9
Comprehensive,First Owner,Manual,8.04
Comprehensive,First Owner,Manual,5.0
Comprehensive,First Owner,Manual,2.98
Third Party,First Owner,Automatic,35.0
Third Party,First Owner,Manual,6.55
Third Party,First Owner,Manual,3.52
Third Party,First Owner,Automatic,11.31
Third Party,First Owner,Automatic,5.7
Comprehensive,First Owner,Manual,4.93
Comprehensive,First Owner,Manual,3.75
Comprehensive,First Owner,Manual,6.75
Third Party,First Owner,Manual,5.5
Third Party,First Owner,Automatic,5.0
Comprehensive,First Owner,Automatic,14.9
Comprehensive,First Owner,Automatic,36.0
Comprehensive,First Owner,Manual,12.75
Third Party,First Owner,Automatic,7.5
Third Party,First Owner,Manual,13.5
Third Party,First Owner,Manual,3.35
Comprehensive,First Owner,Manual,5.0
Comprehensive,Second Owner,Automatic,12.95
Not Available,First Owner,Automatic,8.06
Comprehensive,Second Owner,Manual,4.96
Third Party,First Owner,Manual,7.0
Third Party,First Owner,Manual,5.67
Third Party,First Owner,Manual,3.5
Third Party,First Owner,Manual,5.9
Comprehensive,First Owner,Automatic,9.75
Comprehensive,First Owner,Manual,4.44
Zero Dep,First Owner,Manual,4.95
Third Party,First Owner,Manual,2.9
Third Party,First Owner,Automatic,10.5
Comprehensive,Second Owner,Automatic,6.57
Not Available,First Owner,Automatic,2.75
Comprehensive,First Owner,Automatic,5.85
Third Party,Second Owner,Manual,2.5
Comprehensive,First Owner,Manual,1.78
Third Party,First Owner,Manual,6.0
Third Party,First Owner,Manual,4.8
Third Party,First Owner,Manual,5.7
Comprehensive,Second Owner,Manual,18.0
Third Party,First Owner,Manual,23.5
Not Available,First Owner,Manual,5.29
Third Party,First Owner,Automatic,38.0
Comprehensive,First Owner,Automatic,7.91
Comprehensive,Third Owner,Manual,5.65
Third Party,Second Owner,Manual,3.26
Comprehensive,First Owner,Automatic,20.0
Comprehensive,First Owner,Manual,6.2
Comprehensive,First Owner,Automatic,19.9
Third Party,First Owner,Automatic,8.2
Third Party,First Owner,Manual,1.6
Comprehensive,First Owner,Manual,5.0
Comprehensive,First Owner,Manual,4.16
Zero Dep,First Owner,Automatic,13.75
Third Party,First Owner,Manual,6.95
Third Party,First Owner,Manual,1.93
Comprehensive,First Owner,Manual,5.99
Comprehensive,First Owner,Manual,5.55
Third Party,Second Owner,Manual,3.75
Third Party,Second Owner,Manual,3.31
Third Party,Second Owner,Automatic,7.65
Comprehensive,First Owner,Automatic,4.25
Comprehensive,First Owner,Manual,2.63
Third Party,Second Owner,Manual,3.2
Third Party,First Owner,Manual,11.0
Third Party,Second Owner,Manual,0.72
Third Party,Second Owner,Manual,3.8
Third Party,Third Owner,Manual,2.65
Third Party,Second Owner,Manual,2.6
Third Party,First Owner,Manual,17.6
Third Party,First Owner,Manual,4.95
Third Party,First Owner,Automatic,8.0
Third Party,First Owner,Manual,5.38
Third Party,First Owner,Manual,8.3
Third Party,First Owner,Manual,7.5
Third Party,First Owner,Automatic,20.6
Not Available,First Owner,Manual,7.0
Third Party,First Owner,Manual,10.5
Third Party,First Owner,Automatic,6.54
Third Party,First Owner,Automatic,23.0
Third Party,First Owner,Manual,6.5
Comprehensive,First Owner,Automatic,7.9
Comprehensive,First Owner,Manual,3.58
Comprehensive,First Owner,Automatic,17.47
Comprehensive,First Owner,Automatic,14.75
Third Party,First Owner,Automatic,13.95
Third Party,First Owner,Manual,4.85
Third Party,First Owner,Manual,4.69
Comprehensive,First Owner,Automatic,29.25
Third Party,First Owner,Automatic,4.0
Comprehensive,First Owner,Manual,10.25
Third Party,Second Owner,Manual,4.3
Third Party,First Owner,Manual,3.5
Third Party,First Owner,Manual,4.5
Comprehensive,First Owner,Automatic,13.28
Zero Dep,First Owner,Manual,6.69
Third Party,First Owner,Manual,7.0
Comprehensive,Second Owner,Manual,2.3
Comprehensive,First Owner,Automatic,7.0
Third Party,Second Owner,Automatic,7.41
Third Party,First Owner,Manual,7.5
Comprehensive,First Owner,Manual,9.25
Comprehensive,First Owner,Automatic,14.53
Third Party,Second Owner,Manual,4.45
Zero Dep,First Owner,Manual,6.96
Third Party,Third Owner,Manual,3.37
Third Party,Second Owner,Manual,6.35
Third Party,First Owner,Manual,8.13
Third Party,First Owner,Manual,9.0
Comprehensive,First Owner,Manual,5.16
Third Party,First Owner,Manual,4.25
Third Party,First Owner,Manual,8.5
Third Party,First Owner,Manual,8.0
Third Party,First Owner,Automatic,7.0
Third Party,Second Owner,Manual,1.05
Comprehensive,First Owner,Manual,6.43
Third Party,First Owner,Automatic,7.36
Comprehensive,First Owner,Manual,2.48
Third Party,First Owner,Manual,21.0
Not Available,Fourth Owner,Manual,2.0
Third Party,Second Owner,Automatic,6.0
Comprehensive,Second Owner,Manual,6.48
Comprehensive,First Owner,Manual,3.91
Third Party,First Owner,Manual,2.6
Third Party,First Owner,Manual,4.25
Comprehensive,First Owner,Automatic,6.51
Not Available,Third Owner,Manual,3.5
Comprehensive,First Owner,Manual,6.75
Third Party,First Owner,Manual,9.7
Third Party,First Owner,Manual,5.65
Comprehensive,First Owner,Manual,4.1
Third Party,Second Owner,Manual,4.65
Third Party,First Owner,Manual,5.21
Comprehensive,First Owner,Automatic,21.75
Third Party,Second Owner,Manual,4.98
Third Party,First Owner,Manual,2.2
Comprehensive,Third Owner,Manual,5.15
Third Party,First Owner,Manual,9.25
Third Party,Second Owner,Automatic,2.8
Comprehensive,First Owner,Manual,5.86
Third Party,Second Owner,Automatic,4.0
Comprehensive,First Owner,Automatic,9.6
Comprehensive,First Owner,Manual,6.55
Third Party,First Owner,Manual,9.0
Third Party,Second Owner,Manual,9.35
Third Party,First Owner,Manual,2.55
Third Party,First Owner,Automatic,17.25
Third Party,Second Owner,Automatic,8.03
Third Party,Second Owner,Manual,4.5
Comprehensive,First Owner,Manual,5.7
Comprehensive,First Owner,Manual,5.58
Zero Dep,First Owner,Manual,6.32
Comprehensive,Second Owner,Manual,4.25
Third Party,First Owner,Automatic,9.99
Third Party,First Owner,Manual,2.5
Third Party,Third Owner,Manual,4.5
Zero Dep,First Owner,Automatic,6.03
Third Party,Second Owner,Manual,0.9
Third Party,First Owner,Automatic,9.49
Third Party,First Owner,Automatic,20.0
Third Party,First Owner,Manual,6.4
Third Party,First Owner,Manual,2.16
Comprehensive,First Owner,Automatic,4.75
Third Party,Second Owner,Automatic,6.95
Comprehensive,First Owner,Automatic,14.21
Third Party,Second Owner,Automatic,3.3
Zero Dep,Second Owner,Manual,5.32
Third Party,Third Owner,Manual,3.25
Third Party,First Owner,Manual,7.94
Third Party,First Owner,Manual,2.7
Not Available,Third Owner,Automatic,1.8
Third Party,Second Owner,Manual,3.18
Third Party,Second Owner,Manual,2.25
Comprehensive,First Owner,Manual,4.51
Third Party,First Owner,Manual,6.9
Third Party,First Owner,Manual,2.22
Third Party,Second Owner,Manual,5.64
Comprehensive,First Owner,Manual,7.4
Third Party,First Owner,Manual,3.82
Third Party,Second Owner,Manual,4.0
Not Available,First Owner,Manual,9.0
Not Available,First Owner,Manual,3.05
Not Available,First Owner,Manual,1.3
Not Available,First Owner,Manual,5.18
Third Party,First Owner,Manual,1.62
Comprehensive,Second Owner,Automatic,45.0
Comprehensive,First Owner,Manual,5.15
Comprehensive,First Owner,Manual,10.55
Comprehensive,Second Owner,Automatic,13.9
Third Party,First Owner,Manual,17.61
Comprehensive,First Owner,Manual,8.25
Third Party,First Owner,Automatic,8.6
Third Party,First Owner,Manual,5.8
Comprehensive,First Owner,Automatic,8.0
Third Party,First Owner,Manual,1.9
Comprehensive,Second Owner,Manual,4.95
Third Party,Third Owner,Automatic,10.0
Third Party,First Owner,Automatic,25.0
Not Available,First Owner,Manual,7.0
Comprehensive,First Owner,Manual,5.95
Third Party,Second Owner,Manual,2.5
Comprehensive,First Owner,Manual,11.5
Comprehensive,Second Owner,Manual,5.38
Comprehensive,First Owner,Automatic,17.5
Zero Dep,Second Owner,Manual,11.71
Third Party,Second Owner,Manual,8.35
Third Party,First Owner,Automatic,5.34
Comprehensive,First Owner,Manual,4.92
Third Party,Second Owner,Manual,5.29
Comprehensive,First Owner,Manual,5.37
Comprehensive,Second Owner,Manual,7.13
Third Party,First Owner,Manual,9.99
Comprehensive,Second Owner,Manual,9.69
Third Party,Second Owner,Manual,7.35
Third Party,First Owner,Manual,7.87
Zero Dep,First Owner,Manual,7.51
Third Party,First Owner,Manual,3.8
Third Party,First Owner,Manual,7.99
Comprehensive,First Owner,Automatic,8.93
Third Party,Second Owner,Manual,4.5
Third Party,First Owner,Manual,2.68
Third Party,First Owner,Manual,9.0
Comprehensive,Third Owner,Automatic,10.25
Comprehensive,First Owner,Automatic,11.45
Comprehensive,First Owner,Automatic,18.9
Comprehensive,Second Owner,Automatic,5.82
Third Party,First Owner,Manual,4.87
Comprehensive,First Owner,Manual,1.45
Comprehensive,First Owner,Manual,6.97
Comprehensive,First Owner,Manual,2.35
Comprehensive,Second Owner,Manual,4.45
Comprehensive,First Owner,Manual,5.36
Third Party,Second Owner,Manual,5.52
Comprehensive,First Owner,Manual,10.0
Comprehensive,First Owner,Manual,18.9
Third Party,Third Owner,Manual,5.5
Zero Dep,First Owner,Manual,9.67
Third Party,Second Owner,Manual,2.25
Third Party,Second Owner,Manual,1.15
Third Party,First Owner,Manual,8.25
Comprehensive,First Owner,Automatic,34.5
Third Party,Third Owner,Manual,5.6
Third Party,Second Owner,Automatic,4.75
Comprehensive,Second Owner,Automatic,7.75
Comprehensive,First Owner,Manual,1.9
Comprehensive,First Owner,Manual,3.92
Third Party,Fourth Owner,Manual,1.45
Third Party,Second Owner,Manual,2.61
Comprehensive,Second Owner,Automatic,14.23
Third Party,First Owner,Manual,8.39
Third Party,Second Owner,Manual,1.25
Comprehensive,First Owner,Automatic,8.75
Comprehensive,First Owner,Manual,15.75
Third Party,Second Owner,Automatic,3.3
Third Party,Second Owner,Manual,4.5
Comprehensive,First Owner,Manual,12.9
Comprehensive,First Owner,Automatic,11.75
Third Party,Second Owner,Manual,1.8
Third Party,First Owner,Manual,6.65
Third Party,First Owner,Manual,7.25
Zero Dep,First Owner,Manual,5.41
Comprehensive,First Owner,Manual,4.35
Comprehensive,First Owner,Manual,10.75
Third Party,First Owner,Manual,3.5
Comprehensive,First Owner,Manual,3.12
Third Party,First Owner,Automatic,6.72
Comprehensive,Second Owner,Manual,6.25
Comprehensive,First Owner,Manual,6.65
Comprehensive,First Owner,Automatic,9.7
Third Party,First Owner,Manual,8.0
Zero Dep,First Owner,Manual,9.09
Third Party,First Owner,Manual,6.4
Third Party,Second Owner,Manual,2.85
Comprehensive,Second Owner,Manual,2.55
Third Party,First Owner,Manual,6.91
Comprehensive,First Owner,Manual,5.56
Comprehensive,First Owner,Manual,9.19
Comprehensive,First Owner,Automatic,1.8
Comprehensive,First Owner,Manual,9.85
Comprehensive,Second Owner,Automatic,5.64
Third Party,First Owner,Manual,8.76
Not Available,First Owner,Manual,10.5
Third Party,First Owner,Manual,2.13
Comprehensive,First Owner,Automatic,3.04
Comprehensive,First Owner,Manual,4.19
Third Party,Second Owner,Manual,5.2
Comprehensive,First Owner,Manual,4.21
Comprehensive,First Owner,Automatic,6.5
Comprehensive,First Owner,Manual,3.92
Third Party,Second Owner,Manual,3.2
Third Party,Second Owner,Manual,5.53
Comprehensive,First Owner,Manual,6.0
Comprehensive,Third Owner,Manual,3.16
Third Party,First Owner,Manual,5.12
Third Party,First Owner,Manual,5.65
Third Party,First Owner,Manual,2.0
Third Party,Second Owner,Manual,3.1
Comprehensive,First Owner,Manual,9.3
Comprehensive,First Owner,Manual,7.9
Comprehensive,First Owner,Automatic,23.0
Comprehensive,First Owner,Manual,4.2
Comprehensive,First Owner,Automatic,3.28
Third Party,First Owner,Manual,5.96
Third Party,Third Owner,Manual,0.5
Comprehensive,Second Owner,Manual,3.5
Comprehensive,Third Owner,Automatic,6.59
Zero Dep,First Owner,Automatic,16.5
Comprehensive,First Owner,Manual,3.12
Comprehensive,First Owner,Manual,2.46
Zero Dep,First Owner,Manual,4.19
Not Available,First Owner,Manual,2.08
Third Party,First Owner,Manual,7.5
Third Party,First Owner,Manual,4.5
Third Party,Second Owner,Manual,1.6
Comprehensive,First Owner,Automatic,14.99
Third Party,Second Owner,Manual,2.95
Third Party,First Owner,Manual,6.75
Third Party,First Owner,Manual,1.1
Third Party,Second Owner,Manual,4.75
Comprehensive,First Owner,Manual,3.16
Zero Dep,First Owner,Manual,9.34
Third Party,Second Owner,Automatic,5.75
Comprehensive,First Owner,Manual,7.2
